범죄종류,대분류,중분류,질문답변,비율
디지털성착취,인터넷 이용시간별,3~4시간 미만,매우 문제가 된다,70.9
디지털성착취,인터넷 이용시간별,4시간 이상,전혀 문제가 되지 않는다,0.1
디지털성착취,인터넷 이용시간별,4시간 이상,문제가 되지 않는다,1.2
디지털성착취,인터넷 이용시간별,4시간 이상,문제가 된다,19.3
디지털성착취,인터넷 이용시간별,4시간 이상,매우 문제가 된다,79.4
몰카,성별,남성,전혀 문제가 되지 않는다,0.1
몰카,성별,남성,문제가 되지 않는다,0.6
몰카,성별,남성,문제가 된다,23.8
몰카,성별,남성,매우 문제가 된다,75.6
몰카,성별,여성,전혀 문제가 되지 않는다,0.1
몰카,성별,여성,문제가 되지 않는다,0.4
몰카,성별,여성,문제가 된다,23.3
몰카,성별,여성,매우 문제가 된다,76.2
몰카,연령별,20~29세,전혀 문제가 되지 않는다,0.1
몰카,연령별,20~29세,문제가 되지 않는다,0.3
몰카,연령별,20~29세,문제가 된다,21.3
몰카,연령별,20~29세,매우 문제가 된다,78.3
몰카,연령별,30~39세,전혀 문제가 되지 않는다,0.1
몰카,연령별,30~39세,문제가 되지 않는다,0.4
몰카,연령별,30~39세,문제가 된다,23.2
몰카,연령별,30~39세,매우 문제가 된다,76.3
몰카,연령별,40~49세,전혀 문제가 되지 않는다,0
몰카,연령별,40~49세,문제가 되지 않는다,0.3
몰카,연령별,40~49세,문제가 된다,24.7
몰카,연령별,40~49세,매우 문제가 된다,75
몰카,연령별,50~59세,전혀 문제가 되지 않는다,0.1
몰카,연령별,50~59세,문제가 되지 않는다,0.6
몰카,연령별,50~59세,문제가 된다,22.9
몰카,연령별,50~59세,매우 문제가 된다,76.5
몰카,연령별,60~69세,전혀 문제가 되지 않는다,0.1
몰카,연령별,60~69세,문제가 되지 않는다,0.8
몰카,연령별,60~69세,문제가 된다,26
몰카,연령별,60~69세,매우 문제가 된다,73.1
몰카,학력별,초졸이하,전혀 문제가 되지 않는다,0
몰카,학력별,초졸이하,문제가 되지 않는다,0
몰카,학력별,초졸이하,문제가 된다,24.3
몰카,학력별,초졸이하,매우 문제가 된다,75.7
몰카,학력별,중졸,전혀 문제가 되지 않는다,0
몰카,학력별,중졸,문제가 되지 않는다,0.3
몰카,학력별,중졸,문제가 된다,21.7
몰카,학력별,중졸,매우 문제가 된다,78
몰카,학력별,고졸,전혀 문제가 되지 않는다,0
몰카,학력별,고졸,문제가 되지 않는다,0.5
몰카,학력별,고졸,문제가 된다,24
몰카,학력별,고졸,매우 문제가 된다,75.4
몰카,학력별,대졸이상,전혀 문제가 되지 않는다,0.1
몰카,학력별,대졸이상,문제가 되지 않는다,0.4
몰카,학력별,대졸이상,문제가 된다,23.3
몰카,학력별,대졸이상,매우 문제가 된다,76.2
몰카,월평균 가구소득별,100만원 미만,전혀 문제가 되지 않는다,0.1
몰카,월평균 가구소득별,100만원 미만,문제가 되지 않는다,2.3
몰카,월평균 가구소득별,100만원 미만,문제가 된다,24.5
몰카,월평균 가구소득별,100만원 미만,매우 문제가 된다,73.1
몰카,월평균 가구소득별,100~200만원 미만,전혀 문제가 되지 않는다,0
몰카,월평균 가구소득별,100~200만원 미만,문제가 되지 않는다,0.5
몰카,월평균 가구소득별,100~200만원 미만,문제가 된다,18.7
몰카,월평균 가구소득별,100~200만원 미만,매우 문제가 된다,80.8
몰카,월평균 가구소득별,200~300만원 미만,전혀 문제가 되지 않는다,0.1
몰카,월평균 가구소득별,200~300만원 미만,문제가 되지 않는다,0.3
몰카,월평균 가구소득별,200~300만원 미만,문제가 된다,23.2
몰카,월평균 가구소득별,200~300만원 미만,매우 문제가 된다,76.4
몰카,월평균 가구소득별,300~400만원 미만,전혀 문제가 되지 않는다,0
몰카,월평균 가구소득별,300~400만원 미만,문제가 되지 않는다,0.7
몰카,월평균 가구소득별,300~400만원 미만,문제가 된다,25.8
몰카,월평균 가구소득별,300~400만원 미만,매우 문제가 된다,73.5
몰카,월평균 가구소득별,400~500만원 미만,전혀 문제가 되지 않는다,0.1
몰카,월평균 가구소득별,400~500만원 미만,문제가 되지 않는다,0.2
몰카,월평균 가구소득별,400~500만원 미만,문제가 된다,22.8
몰카,월평균 가구소득별,400~500만원 미만,매우 문제가 된다,76.9
몰카,월평균 가구소득별,500~600만원 미만,전혀 문제가 되지 않는다,0.2
몰카,월평균 가구소득별,500~600만원 미만,문제가 되지 않는다,0.6
몰카,월평균 가구소득별,500~600만원 미만,문제가 된다,21.6
몰카,월평균 가구소득별,500~600만원 미만,매우 문제가 된다,77.6
몰카,월평균 가구소득별,600~700만원 미만,전혀 문제가 되지 않는다,0.1
몰카,월평균 가구소득별,600~700만원 미만,문제가 되지 않는다,0.4
몰카,월평균 가구소득별,600~700만원 미만,문제가 된다,27.6
몰카,월평균 가구소득별,600~700만원 미만,매우 문제가 된다,71.9
몰카,월평균 가구소득별,700만원 이상,전혀 문제가 되지 않는다,0
몰카,월평균 가구소득별,700만원 이상,문제가 되지 않는다,0
몰카,월평균 가구소득별,700만원 이상,문제가 된다,19.7
몰카,월평균 가구소득별,700만원 이상,매우 문제가 된다,80.3
몰카,권역별,수도권,전혀 문제가 되지 않는다,0
몰카,권역별,수도권,문제가 되지 않는다,0.6
몰카,권역별,수도권,문제가 된다,24.2
몰카,권역별,수도권,매우 문제가 된다,75.2
몰카,권역별,충청권,전혀 문제가 되지 않는다,0
몰카,권역별,충청권,문제가 되지 않는다,0.2
몰카,권역별,충청권,문제가 된다,25.9
몰카,권역별,충청권,매우 문제가 된다,74
몰카,권역별,호남권,전혀 문제가 되지 않는다,0.1
몰카,권역별,호남권,문제가 되지 않는다,0
몰카,권역별,호남권,문제가 된다,23
몰카,권역별,호남권,매우 문제가 된다,76.9
몰카,권역별,동북권,전혀 문제가 되지 않는다,0.2
몰카,권역별,동북권,문제가 되지 않는다,0.2
몰카,권역별,동북권,문제가 된다,11.7
몰카,권역별,동북권,매우 문제가 된다,87.9
몰카,권역별,동남권,전혀 문제가 되지 않는다,0.3
몰카,권역별,동남권,문제가 되지 않는다,0.6
몰카,권역별,동남권,문제가 된다,29.7
몰카,권역별,동남권,매우 문제가 된다,69.5
몰카,인터넷 이용시간별,1시간 미만,전혀 문제가 되지 않는다,0
몰카,인터넷 이용시간별,1시간 미만,문제가 되지 않는다,0.5
몰카,인터넷 이용시간별,1시간 미만,문제가 된다,18.7
몰카,인터넷 이용시간별,1시간 미만,매우 문제가 된다,80.8
몰카,인터넷 이용시간별,1~2시간 미만,전혀 문제가 되지 않는다,0.1
몰카,인터넷 이용시간별,1~2시간 미만,문제가 되지 않는다,0.3
몰카,인터넷 이용시간별,1~2시간 미만,문제가 된다,21.7
몰카,인터넷 이용시간별,1~2시간 미만,매우 문제가 된다,77.9
몰카,인터넷 이용시간별,2~3시간 미만,전혀 문제가 되지 않는다,0.1
몰카,인터넷 이용시간별,2~3시간 미만,문제가 되지 않는다,0.4
몰카,인터넷 이용시간별,2~3시간 미만,문제가 된다,25.4
몰카,인터넷 이용시간별,2~3시간 미만,매우 문제가 된다,74
몰카,인터넷 이용시간별,3~4시간 미만,전혀 문제가 되지 않는다,0
몰카,인터넷 이용시간별,3~4시간 미만,문제가 되지 않는다,0.6
몰카,인터넷 이용시간별,3~4시간 미만,문제가 된다,28.1
몰카,인터넷 이용시간별,3~4시간 미만,매우 문제가 된다,71.3
몰카,인터넷 이용시간별,4시간 이상,전혀 문제가 되지 않는다,0.1
몰카,인터넷 이용시간별,4시간 이상,문제가 되지 않는다,0.5
몰카,인터넷 이용시간별,4시간 이상,문제가 된다,20.4
몰카,인터넷 이용시간별,4시간 이상,매우 문제가 된다,78.9
몸캠,성별,남성,전혀 문제가 되지 않는다,0.1
몸캠,성별,남성,문제가 되지 않는다,1.2
몸캠,성별,남성,문제가 된다,25.5
몸캠,성별,남성,매우 문제가 된다,73.2
몸캠,성별,여성,전혀 문제가 되지 않는다,0.1
몸캠,성별,여성,문제가 되지 않는다,0.8
몸캠,성별,여성,문제가 된다,23.3
몸캠,성별,여성,매우 문제가 된다,75.7
몸캠,연령별,20~29세,전혀 문제가 되지 않는다,0.2
몸캠,연령별,20~29세,문제가 되지 않는다,0.9
몸캠,연령별,20~29세,문제가 된다,19.8
몸캠,연령별,20~29세,매우 문제가 된다,79.1
몸캠,연령별,30~39세,전혀 문제가 되지 않는다,0
몸캠,연령별,30~39세,문제가 되지 않는다,0.9
몸캠,연령별,30~39세,문제가 된다,24.5
몸캠,연령별,30~39세,매우 문제가 된다,74.6
몸캠,연령별,40~49세,전혀 문제가 되지 않는다,0
몸캠,연령별,40~49세,문제가 되지 않는다,0.8
몸캠,연령별,40~49세,문제가 된다,26
몸캠,연령별,40~49세,매우 문제가 된다,73.3
몸캠,연령별,50~59세,전혀 문제가 되지 않는다,0.2
몸캠,연령별,50~59세,문제가 되지 않는다,1
몸캠,연령별,50~59세,문제가 된다,26.5
몸캠,연령별,50~59세,매우 문제가 된다,72.3
몸캠,연령별,60~69세,전혀 문제가 되지 않는다,0.2
몸캠,연령별,60~69세,문제가 되지 않는다,1.5
몸캠,연령별,60~69세,문제가 된다,24.9
몸캠,연령별,60~69세,매우 문제가 된다,73.4
몸캠,학력별,초졸이하,전혀 문제가 되지 않는다,0
몸캠,학력별,초졸이하,문제가 되지 않는다,0
몸캠,학력별,초졸이하,문제가 된다,25.9
몸캠,학력별,초졸이하,매우 문제가 된다,74.1
몸캠,학력별,중졸,전혀 문제가 되지 않는다,0
몸캠,학력별,중졸,문제가 되지 않는다,0
몸캠,학력별,중졸,문제가 된다,21.7
몸캠,학력별,중졸,매우 문제가 된다,78.3
몸캠,학력별,고졸,전혀 문제가 되지 않는다,0.1
몸캠,학력별,고졸,문제가 되지 않는다,1
몸캠,학력별,고졸,문제가 된다,23.4
몸캠,학력별,고졸,매우 문제가 된다,75.5
몸캠,학력별,대졸이상,전혀 문제가 되지 않는다,0.2
몸캠,학력별,대졸이상,문제가 되지 않는다,1
몸캠,학력별,대졸이상,문제가 된다,25.5
몸캠,학력별,대졸이상,매우 문제가 된다,73.3
몸캠,월평균 가구소득별,100만원 미만,전혀 문제가 되지 않는다,0
몸캠,월평균 가구소득별,100만원 미만,문제가 되지 않는다,1.6
몸캠,월평균 가구소득별,100만원 미만,문제가 된다,21.5
몸캠,월평균 가구소득별,100만원 미만,매우 문제가 된다,76.9
몸캠,월평균 가구소득별,100~200만원 미만,전혀 문제가 되지 않는다,0
몸캠,월평균 가구소득별,100~200만원 미만,문제가 되지 않는다,0.9
몸캠,월평균 가구소득별,100~200만원 미만,문제가 된다,21.3
몸캠,월평균 가구소득별,100~200만원 미만,매우 문제가 된다,77.9
몸캠,월평균 가구소득별,200~300만원 미만,전혀 문제가 되지 않는다,0.2
몸캠,월평균 가구소득별,200~300만원 미만,문제가 되지 않는다,1.1
몸캠,월평균 가구소득별,200~300만원 미만,문제가 된다,24.1
몸캠,월평균 가구소득별,200~300만원 미만,매우 문제가 된다,74.6
몸캠,월평균 가구소득별,300~400만원 미만,전혀 문제가 되지 않는다,0.2
몸캠,월평균 가구소득별,300~400만원 미만,문제가 되지 않는다,1.4
몸캠,월평균 가구소득별,300~400만원 미만,문제가 된다,23.9
몸캠,월평균 가구소득별,300~400만원 미만,매우 문제가 된다,74.5
몸캠,월평균 가구소득별,400~500만원 미만,전혀 문제가 되지 않는다,0.1
몸캠,월평균 가구소득별,400~500만원 미만,문제가 되지 않는다,0.8
몸캠,월평균 가구소득별,400~500만원 미만,문제가 된다,21.5
몸캠,월평균 가구소득별,400~500만원 미만,매우 문제가 된다,77.6
몸캠,월평균 가구소득별,500~600만원 미만,전혀 문제가 되지 않는다,0.1
몸캠,월평균 가구소득별,500~600만원 미만,문제가 되지 않는다,0.9
몸캠,월평균 가구소득별,500~600만원 미만,문제가 된다,29.2
몸캠,월평균 가구소득별,500~600만원 미만,매우 문제가 된다,69.9
몸캠,월평균 가구소득별,600~700만원 미만,전혀 문제가 되지 않는다,0.1
몸캠,월평균 가구소득별,600~700만원 미만,문제가 되지 않는다,0.7
몸캠,월평균 가구소득별,600~700만원 미만,문제가 된다,32
몸캠,월평균 가구소득별,600~700만원 미만,매우 문제가 된다,67.1
몸캠,월평균 가구소득별,700만원 이상,전혀 문제가 되지 않는다,0
몸캠,월평균 가구소득별,700만원 이상,문제가 되지 않는다,0.4
몸캠,월평균 가구소득별,700만원 이상,문제가 된다,13.6
몸캠,월평균 가구소득별,700만원 이상,매우 문제가 된다,86
몸캠,권역별,수도권,전혀 문제가 되지 않는다,0.1
몸캠,권역별,수도권,문제가 되지 않는다,1.7
몸캠,권역별,수도권,문제가 된다,27
몸캠,권역별,수도권,매우 문제가 된다,71.2
몸캠,권역별,충청권,전혀 문제가 되지 않는다,0
몸캠,권역별,충청권,문제가 되지 않는다,0.1
몸캠,권역별,충청권,문제가 된다,24.5
몸캠,권역별,충청권,매우 문제가 된다,75.4
몸캠,권역별,호남권,전혀 문제가 되지 않는다,0
몸캠,권역별,호남권,문제가 되지 않는다,0
몸캠,권역별,호남권,문제가 된다,19.1
몸캠,권역별,호남권,매우 문제가 된다,80.9
몸캠,권역별,동북권,전혀 문제가 되지 않는다,0.2
몸캠,권역별,동북권,문제가 되지 않는다,0.6
몸캠,권역별,동북권,문제가 된다,13
몸캠,권역별,동북권,매우 문제가 된다,86.2
몸캠,권역별,동남권,전혀 문제가 되지 않는다,0.2
몸캠,권역별,동남권,문제가 되지 않는다,0.2
몸캠,권역별,동남권,문제가 된다,28.8
몸캠,권역별,동남권,매우 문제가 된다,70.8
몸캠,인터넷 이용시간별,1시간 미만,전혀 문제가 되지 않는다,0
몸캠,인터넷 이용시간별,1시간 미만,문제가 되지 않는다,0.2
몸캠,인터넷 이용시간별,1시간 미만,문제가 된다,17
몸캠,인터넷 이용시간별,1시간 미만,매우 문제가 된다,82.9
몸캠,인터넷 이용시간별,1~2시간 미만,전혀 문제가 되지 않는다,0.2
몸캠,인터넷 이용시간별,1~2시간 미만,문제가 되지 않는다,1
몸캠,인터넷 이용시간별,1~2시간 미만,문제가 된다,21.4
몸캠,인터넷 이용시간별,1~2시간 미만,매우 문제가 된다,77.4
몸캠,인터넷 이용시간별,2~3시간 미만,전혀 문제가 되지 않는다,0.1
몸캠,인터넷 이용시간별,2~3시간 미만,문제가 되지 않는다,1.4
몸캠,인터넷 이용시간별,2~3시간 미만,문제가 된다,26.8
몸캠,인터넷 이용시간별,2~3시간 미만,매우 문제가 된다,71.7
몸캠,인터넷 이용시간별,3~4시간 미만,전혀 문제가 되지 않는다,0.1
몸캠,인터넷 이용시간별,3~4시간 미만,문제가 되지 않는다,1
몸캠,인터넷 이용시간별,3~4시간 미만,문제가 된다,31.3
몸캠,인터넷 이용시간별,3~4시간 미만,매우 문제가 된다,67.6
몸캠,인터넷 이용시간별,4시간 이상,전혀 문제가 되지 않는다,0
몸캠,인터넷 이용시간별,4시간 이상,문제가 되지 않는다,0.9
몸캠,인터넷 이용시간별,4시간 이상,문제가 된다,21.7
몸캠,인터넷 이용시간별,4시간 이상,매우 문제가 된다,77.4
불법영상유포물,성별,남성,전혀 문제가 되지 않는다,0.1
불법영상유포물,성별,남성,문제가 되지 않는다,0.6
불법영상유포물,성별,남성,문제가 된다,24.8
불법영상유포물,성별,남성,매우 문제가 된다,74.5
불법영상유포물,성별,여성,전혀 문제가 되지 않는다,0
불법영상유포물,성별,여성,문제가 되지 않는다,0.5
불법영상유포물,성별,여성,문제가 된다,21.7
불법영상유포물,성별,여성,매우 문제가 된다,77.8
불법영상유포물,연령별,20~29세,전혀 문제가 되지 않는다,0.1
불법영상유포물,연령별,20~29세,문제가 되지 않는다,0.1
불법영상유포물,연령별,20~29세,문제가 된다,21.8
불법영상유포물,연령별,20~29세,매우 문제가 된다,78
불법영상유포물,연령별,30~39세,전혀 문제가 되지 않는다,0.1
불법영상유포물,연령별,30~39세,문제가 되지 않는다,0.4
불법영상유포물,연령별,30~39세,문제가 된다,22.8
불법영상유포물,연령별,30~39세,매우 문제가 된다,76.7
불법영상유포물,연령별,40~49세,전혀 문제가 되지 않는다,0.1
불법영상유포물,연령별,40~49세,문제가 되지 않는다,0.7
불법영상유포물,연령별,40~49세,문제가 된다,24.2
불법영상유포물,연령별,40~49세,매우 문제가 된다,75
불법영상유포물,연령별,50~59세,전혀 문제가 되지 않는다,0
불법영상유포물,연령별,50~59세,문제가 되지 않는다,1
불법영상유포물,연령별,50~59세,문제가 된다,23.6
불법영상유포물,연령별,50~59세,매우 문제가 된다,75.4
불법영상유포물,연령별,60~69세,전혀 문제가 되지 않는다,0.1
불법영상유포물,연령별,60~69세,문제가 되지 않는다,0.6
불법영상유포물,연령별,60~69세,문제가 된다,23.8
불법영상유포물,연령별,60~69세,매우 문제가 된다,75.6
불법영상유포물,학력별,초졸이하,전혀 문제가 되지 않는다,0
불법영상유포물,학력별,초졸이하,문제가 되지 않는다,0
불법영상유포물,학력별,초졸이하,문제가 된다,25.3
불법영상유포물,학력별,초졸이하,매우 문제가 된다,74.7
불법영상유포물,학력별,중졸,전혀 문제가 되지 않는다,0
불법영상유포물,학력별,중졸,문제가 되지 않는다,0.9
불법영상유포물,학력별,중졸,문제가 된다,23.1
불법영상유포물,학력별,중졸,매우 문제가 된다,76
불법영상유포물,학력별,고졸,전혀 문제가 되지 않는다,0
불법영상유포물,학력별,고졸,문제가 되지 않는다,0.5
불법영상유포물,학력별,고졸,문제가 된다,23
불법영상유포물,학력별,고졸,매우 문제가 된다,76.4
불법영상유포물,학력별,대졸이상,전혀 문제가 되지 않는다,0.1
불법영상유포물,학력별,대졸이상,문제가 되지 않는다,0.6
불법영상유포물,학력별,대졸이상,문제가 된다,23.4
불법영상유포물,학력별,대졸이상,매우 문제가 된다,75.8
불법영상유포물,월평균 가구소득별,100만원 미만,전혀 문제가 되지 않는다,0
불법영상유포물,월평균 가구소득별,100만원 미만,문제가 되지 않는다,2.4
불법영상유포물,월평균 가구소득별,100만원 미만,문제가 된다,16.4
불법영상유포물,월평균 가구소득별,100만원 미만,매우 문제가 된다,81.2
불법영상유포물,월평균 가구소득별,100~200만원 미만,전혀 문제가 되지 않는다,0
불법영상유포물,월평균 가구소득별,100~200만원 미만,문제가 되지 않는다,0.2
불법영상유포물,월평균 가구소득별,100~200만원 미만,문제가 된다,23.3
불법영상유포물,월평균 가구소득별,100~200만원 미만,매우 문제가 된다,76.5
불법영상유포물,월평균 가구소득별,200~300만원 미만,전혀 문제가 되지 않는다,0.2
불법영상유포물,월평균 가구소득별,200~300만원 미만,문제가 되지 않는다,0.5
불법영상유포물,월평균 가구소득별,200~300만원 미만,문제가 된다,21
불법영상유포물,월평균 가구소득별,200~300만원 미만,매우 문제가 된다,78.4
불법영상유포물,월평균 가구소득별,300~400만원 미만,전혀 문제가 되지 않는다,0
불법영상유포물,월평균 가구소득별,300~400만원 미만,문제가 되지 않는다,0.8
불법영상유포물,월평균 가구소득별,300~400만원 미만,문제가 된다,22.8
불법영상유포물,월평균 가구소득별,300~400만원 미만,매우 문제가 된다,76.4
불법영상유포물,월평균 가구소득별,400~500만원 미만,전혀 문제가 되지 않는다,0.1
불법영상유포물,월평균 가구소득별,400~500만원 미만,문제가 되지 않는다,0.4
불법영상유포물,월평균 가구소득별,400~500만원 미만,문제가 된다,20.5
불법영상유포물,월평균 가구소득별,400~500만원 미만,매우 문제가 된다,79
불법영상유포물,월평균 가구소득별,500~600만원 미만,전혀 문제가 되지 않는다,0.1
불법영상유포물,월평균 가구소득별,500~600만원 미만,문제가 되지 않는다,0.9
불법영상유포물,월평균 가구소득별,500~600만원 미만,문제가 된다,27.8
불법영상유포물,월평균 가구소득별,500~600만원 미만,매우 문제가 된다,71.2
불법영상유포물,월평균 가구소득별,600~700만원 미만,전혀 문제가 되지 않는다,0
불법영상유포물,월평균 가구소득별,600~700만원 미만,문제가 되지 않는다,0.1
불법영상유포물,월평균 가구소득별,600~700만원 미만,문제가 된다,29.5
불법영상유포물,월평균 가구소득별,600~700만원 미만,매우 문제가 된다,70.4
불법영상유포물,월평균 가구소득별,700만원 이상,전혀 문제가 되지 않는다,0
